threshold,accuracy,balanced_accuracy,f1_macro,recall_belum_kompeten,Population,Scenario,Model
0.65,0.7142857142857143,0.6628914057295137,0.6241095890410959,0.5789473684210527,P2,S5,RandomForest
0.7,0.6326530612244898,0.6322451698867422,0.5676470588235294,0.631578947368421,P2,S5,RandomForest
0.3,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S1,Dummy
0.35,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S1,Dummy
0.4,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S1,Dummy
0.45,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S1,Dummy
0.5,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S1,Dummy
0.55,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S1,Dummy
0.6,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S1,Dummy
0.65,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S1,Dummy
0.7,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S1,Dummy
0.3,0.8061224489795918,0.639906728847435,0.6538390035322551,0.3684210526315789,P2,S1,LogisticRegression
0.35,0.7653061224489796,0.6145902731512325,0.6168621451640319,0.3684210526315789,P2,S1,LogisticRegression
0.4,0.7448979591836735,0.6019320453031313,0.5998693450922751,0.3684210526315789,P2,S1,LogisticRegression
0.45,0.6938775510204082,0.5902731512325117,0.5739130434782609,0.42105263157894735,P2,S1,LogisticRegression
0.5,0.7244897959183674,0.6892071952031978,0.6421906693711967,0.631578947368421,P2,S1,LogisticRegression
0.55,0.6836734693877551,0.6638907395069953,0.6082527401676338,0.631578947368421,P2,S1,LogisticRegression
0.6,0.6632653061224489,0.6512325116588941,0.5918212798182507,0.631578947368421,P2,S1,LogisticRegression
0.65,0.6224489795918368,0.6459027315123251,0.567251461988304,0.6842105263157895,P2,S1,LogisticRegression
0.7,0.5102040816326531,0.5962691538974016,0.4842105263157894,0.7368421052631579,P2,S1,LogisticRegression
0.3,0.7346938775510204,0.5956029313790806,0.5916666666666667,0.3684210526315789,P2,S1,DecisionTree
0.35,0.7142857142857143,0.6229180546302465,0.6023188405797102,0.47368421052631576,P2,S1,DecisionTree
0.4,0.7142857142857143,0.6628914057295137,0.6241095890410959,0.5789473684210527,P2,S1,DecisionTree
0.45,0.7142857142857143,0.6628914057295137,0.6241095890410959,0.5789473684210527,P2,S1,DecisionTree
0.5,0.7142857142857143,0.6628914057295137,0.6241095890410959,0.5789473684210527,P2,S1,DecisionTree
0.55,0.7142857142857143,0.6828780812791473,0.6335470085470085,0.631578947368421,P2,S1,DecisionTree
0.6,0.7142857142857143,0.6828780812791473,0.6335470085470085,0.631578947368421,P2,S1,DecisionTree
0.65,0.7142857142857143,0.6828780812791473,0.6335470085470085,0.631578947368421,P2,S1,DecisionTree
0.7,0.6938775510204082,0.670219853431046,0.6165884194053208,0.631578947368421,P2,S1,DecisionTree
0.3,0.7857142857142857,0.6072618254497002,0.6174010039040714,0.3157894736842105,P2,S1,RandomForest
0.35,0.7755102040816326,0.6009327115256495,0.6085693536673928,0.3157894736842105,P2,S1,RandomForest
0.4,0.7755102040816326,0.6209193870752832,0.6256944444444444,0.3684210526315789,P2,S1,RandomForest
0.45,0.7551020408163265,0.6082611592271818,0.6082611592271818,0.3684210526315789,P2,S1,RandomForest
0.5,0.7653061224489796,0.6545636242504996,0.6453186467348544,0.47368421052631576,P2,S1,RandomForest
0.55,0.7040816326530612,0.6165889407061959,0.594173925460517,0.47368421052631576,P2,S1,RandomForest
0.6,0.6530612244897959,0.5849433710859427,0.5550213675213675,0.47368421052631576,P2,S1,RandomForest
0.65,0.6326530612244898,0.5922718187874749,0.55,0.5263157894736842,P2,S1,RandomForest
0.7,0.6326530612244898,0.6122584943371085,0.5592203898050974,0.5789473684210527,P2,S1,RandomForest
0.3,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S2,Dummy
0.35,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S2,Dummy
0.4,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S2,Dummy
0.45,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S2,Dummy
0.5,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S2,Dummy
0.55,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S2,Dummy
0.6,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S2,Dummy
0.65,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S2,Dummy
0.7,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S2,Dummy
0.3,0.7653061224489796,0.6145902731512325,0.6168621451640319,0.3684210526315789,P2,S2,LogisticRegression
0.35,0.7551020408163265,0.6282478347768155,0.6230769230769231,0.42105263157894735,P2,S2,LogisticRegression
0.4,0.7346938775510204,0.6155896069287141,0.6060606060606061,0.42105263157894735,P2,S2,LogisticRegression
0.45,0.7346938775510204,0.6555629580279814,0.6307246376811594,0.5263157894736842,P2,S2,LogisticRegression
0.5,0.7142857142857143,0.64290473017988,0.6137387387387387,0.5263157894736842,P2,S2,LogisticRegression
0.55,0.6530612244897959,0.6249167221852099,0.575,0.5789473684210527,P2,S2,LogisticRegression
0.6,0.6122448979591837,0.5996002664890073,0.5436274509803921,0.5789473684210527,P2,S2,LogisticRegression
0.65,0.6020408163265306,0.6532311792138574,0.5577924331829226,0.7368421052631579,P2,S2,LogisticRegression
0.7,0.5510204081632653,0.6215856095936043,0.5170250896057348,0.7368421052631579,P2,S2,LogisticRegression
0.3,0.7857142857142857,0.6472351765489673,0.6501784803671596,0.42105263157894735,P2,S2,DecisionTree
0.35,0.7857142857142857,0.6872085276482345,0.6761605035405193,0.5263157894736842,P2,S2,DecisionTree
0.4,0.7857142857142857,0.6872085276482345,0.6761605035405193,0.5263157894736842,P2,S2,DecisionTree
0.45,0.673469387755102,0.6575616255829446,0.6,0.631578947368421,P2,S2,DecisionTree
0.5,0.673469387755102,0.6575616255829446,0.6,0.631578947368421,P2,S2,DecisionTree
0.55,0.673469387755102,0.6775483011325782,0.6081959020489756,0.6842105263157895,P2,S2,DecisionTree
0.6,0.673469387755102,0.6775483011325782,0.6081959020489756,0.6842105263157895,P2,S2,DecisionTree
0.65,0.6530612244897959,0.664890073284477,0.5916666666666667,0.6842105263157895,P2,S2,DecisionTree
0.7,0.6122448979591837,0.6595602931379081,0.565967365967366,0.7368421052631579,P2,S2,DecisionTree
0.3,0.7653061224489796,0.5746169220519654,0.5809630042758878,0.2631578947368421,P2,S2,RandomForest
0.35,0.7551020408163265,0.5682878081279147,0.5729847494553377,0.2631578947368421,P2,S2,RandomForest
0.4,0.7551020408163265,0.5882744836775483,0.5916666666666667,0.3157894736842105,P2,S2,RandomForest
0.45,0.7448979591836735,0.6019320453031313,0.5998693450922751,0.3684210526315789,P2,S2,RandomForest
0.5,0.7448979591836735,0.6219187208527648,0.6144767899291896,0.42105263157894735,P2,S2,RandomForest
0.55,0.7040816326530612,0.5966022651565623,0.5817512877115526,0.42105263157894735,P2,S2,RandomForest
0.6,0.6836734693877551,0.583944037308461,0.5661859203198629,0.42105263157894735,P2,S2,RandomForest
0.65,0.6020408163265306,0.5333111259160559,0.5071566731141199,0.42105263157894735,P2,S2,RandomForest
0.7,0.6326530612244898,0.6122584943371085,0.5592203898050974,0.5789473684210527,P2,S2,RandomForest
0.3,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S3,Dummy
0.35,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S3,Dummy
0.4,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S3,Dummy
0.45,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S3,Dummy
0.5,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S3,Dummy
0.55,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S3,Dummy
0.6,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S3,Dummy
0.65,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S3,Dummy
0.7,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S3,Dummy
0.3,0.8061224489795918,0.6199200532978015,0.6359726295210166,0.3157894736842105,P2,S3,LogisticRegression
0.35,0.7857142857142857,0.6072618254497002,0.6174010039040714,0.3157894736842105,P2,S3,LogisticRegression
0.4,0.7653061224489796,0.5946035976015989,0.6,0.3157894736842105,P2,S3,LogisticRegression
0.45,0.7755102040816326,0.6808794137241838,0.6666666666666666,0.5263157894736842,P2,S3,LogisticRegression
0.5,0.7346938775510204,0.675549633577615,0.6413288288288288,0.5789473684210527,P2,S3,LogisticRegression
0.55,0.6530612244897959,0.6449033977348434,0.5837081459270365,0.631578947368421,P2,S3,LogisticRegression
0.6,0.6020408163265306,0.6332445036642238,0.5511450381679389,0.6842105263157895,P2,S3,LogisticRegression
0.65,0.5510204081632653,0.6215856095936043,0.5170250896057348,0.7368421052631579,P2,S3,LogisticRegression
0.7,0.5204081632653061,0.6625582944703531,0.50552871712292,0.8947368421052632,P2,S3,LogisticRegression
0.3,0.7551020408163265,0.5882744836775483,0.5916666666666667,0.3157894736842105,P2,S3,DecisionTree
0.35,0.7551020408163265,0.5882744836775483,0.5916666666666667,0.3157894736842105,P2,S3,DecisionTree
0.4,0.7551020408163265,0.5882744836775483,0.5916666666666667,0.3157894736842105,P2,S3,DecisionTree
0.45,0.7653061224489796,0.6545636242504996,0.6453186467348544,0.47368421052631576,P2,S3,DecisionTree
0.5,0.7653061224489796,0.6545636242504996,0.6453186467348544,0.47368421052631576,P2,S3,DecisionTree
0.55,0.7653061224489796,0.6545636242504996,0.6453186467348544,0.47368421052631576,P2,S3,DecisionTree
0.6,0.7448979591836735,0.6419053964023984,0.6276029791761666,0.47368421052631576,P2,S3,DecisionTree
0.65,0.6632653061224489,0.5912724850099933,0.5626774847870183,0.47368421052631576,P2,S3,DecisionTree
0.7,0.5816326530612245,0.5606262491672218,0.5120825743776564,0.5263157894736842,P2,S3,DecisionTree
