population,scenario,model,best_threshold,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_lower,cv_accuracy_ci_upper,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_balanced_accuracy_ci_lower,cv_balanced_accuracy_ci_upper,cv_precision_mean,cv_precision_std,cv_precision_ci_lower,cv_precision_ci_upper,cv_recall_mean,cv_recall_std,cv_recall_ci_lower,cv_recall_ci_upper,cv_f1_mean,cv_f1_std,cv_f1_ci_lower,cv_f1_ci_upper,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_ci_lower,cv_roc_auc_ci_upper,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_recall_belum_kompeten,best_params
P1,S5,DecisionTree,0.3,0.6462666666666667,0.08680665617080038,0.6096957576970528,0.6828375756362806,0.6457692307692308,0.08716591146183837,0.609046970588489,0.6824914909499725,0.6558067616078452,0.09273990833245514,0.616736223758728,0.6948772994569624,0.6457692307692308,0.08716591146183837,0.609046970588489,0.6824914909499725,0.6400304372881965,0.08905923891291626,0.6025105342892958,0.6775503402870973,0.702724358974359,0.08312563147301363,0.6677042345306781,0.73774448341804,0.6129032258064516,0.6125,0.6125,0.6125,0.6125,0.6395833333333334,0.625,"{""model__min_samples_split"": 6, ""model__min_samples_leaf"": 5, ""model__max_features"": null, ""model__max_depth"": 4, ""model__criterion"": ""gini"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.01}"
P1,S5,RandomForest,0.35,0.7070000000000002,0.09504735661763561,0.6669573537330286,0.7470426462669718,0.706923076923077,0.09509277797711903,0.6668612950220859,0.7469848588240681,0.7138017995076819,0.09887910127164638,0.6721448716738577,0.755458727341506,0.706923076923077,0.09509277797711903,0.6668612950220859,0.7469848588240681,0.7042867781560435,0.09648912270002302,0.663636728050699,0.744936828261388,0.7773717948717951,0.09236483768490103,0.7384592711095457,0.8162843186340445,0.6129032258064516,0.6166666666666667,0.6228070175438596,0.6166666666666667,0.6092436974789917,0.6958333333333333,0.5,"{""model__n_estimators"": 500, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 5, ""model__max_features"": ""sqrt"", ""model__max_depth"": 4, ""model__criterion"": ""log_loss"", ""model__class_weight"": null}"
P2,S1,Dummy,0.3,0.5773684210526318,0.015929206263601618,0.5706575813783311,0.5840792607269324,0.5,0.0,,,0.2886842105263159,0.007964603131800809,0.28532879068916556,0.2920396303634662,0.5,0.0,,,0.36596774193548387,0.006432768176836991,0.363257671189816,0.36867781268115174,0.5,0.0,,,0.6,0.5,0.3,0.5,0.375,0.5,0.0,{}
P2,S1,LogisticRegression,0.55,0.6383157894736842,0.0889709716425186,0.600833072728155,0.6757985062192133,0.6392171717171717,0.0871228809677668,0.6025130399191028,0.6759213035152407,0.6439589299589299,0.08786311249860218,0.6069429448868752,0.6809749150309846,0.6392171717171717,0.0871228809677668,0.6025130399191028,0.6759213035152407,0.6305421835534233,0.08929535875437164,0.5929228052653144,0.6681615618415322,0.634040404040404,0.10958875453437673,0.5878715900005634,0.6802092180802445,0.68,0.6833333333333333,0.6762820512820513,0.6833333333333333,0.6753246753246753,0.6399999999999999,0.7,"{""model__class_weight"": ""balanced"", ""model__C"": 0.1}"
P2,S1,DecisionTree,0.5,0.6309473684210526,0.09359037287422697,0.5915185370641446,0.6703761997779606,0.6315656565656567,0.0899007632329921,0.5936912264986396,0.6694400866326737,0.6534753367547484,0.1424775995455129,0.5934507308888591,0.7134999426206378,0.6315656565656567,0.0899007632329921,0.5936912264986396,0.6694400866326737,0.5889512740514025,0.1233717077603586,0.5369758185626844,0.6409267295401205,0.6872032828282828,0.07357158007793335,0.6562081993120281,0.7181983663445375,0.6,0.6166666666666667,0.6136363636363636,0.6166666666666667,0.5993589743589745,0.6633333333333333,0.7,"{""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 2, ""model__criterion"": ""log_loss"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.02}"
P2,S1,RandomForest,0.5,0.6286315789473683,0.08106397733304621,0.5944800119301044,0.6627831459646323,0.6352777777777778,0.07741670583414138,0.6026627753496563,0.6678927802058994,0.6452201132201132,0.0789007979506893,0.6119798753539395,0.6784603510862869,0.6352777777777778,0.07741670583414138,0.6026627753496563,0.6678927802058994,0.6184419947576093,0.0833951566537754,0.5833083216382223,0.6535756678769963,0.7087121212121211,0.08104505528720725,0.6745685258924944,0.7428557165317479,0.6,0.6166666666666667,0.6136363636363636,0.6166666666666667,0.5993589743589745,0.7066666666666667,0.7,"{""model__n_estimators"": 200, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 3, ""model__max_features"": 1.0, ""model__max_depth"": 3, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced""}"
P2,S2,Dummy,0.3,0.5773684210526318,0.015929206263601618,0.5706575813783311,0.5840792607269324,0.5,0.0,,,0.2886842105263159,0.007964603131800809,0.28532879068916556,0.2920396303634662,0.5,0.0,,,0.36596774193548387,0.006432768176836991,0.363257671189816,0.36867781268115174,0.5,0.0,,,0.6,0.5,0.3,0.5,0.375,0.5,0.0,{}
P2,S2,LogisticRegression,0.5,0.6757894736842105,0.06496536473351358,0.6484201157956587,0.7031588315727623,0.6695959595959596,0.058422872816700055,0.644982898135339,0.6942090210565802,0.6807610167610167,0.07150796931646827,0.6506353149792429,0.7108867185427906,0.6695959595959596,0.058422872816700055,0.644982898135339,0.6942090210565802,0.6651781495661426,0.06265376990713063,0.6387826469981316,0.6915736521341537,0.6498484848484849,0.09839932183764458,0.6083936840263481,0.6913032856706217,0.6,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.6666666666666667,0.5,"{""model__class_weight"": ""balanced"", ""model__C"": 1.0}"
P2,S2,DecisionTree,0.55,0.5761052631578947,0.09048628245772611,0.5379841588009986,0.6142263675147908,0.5772727272727273,0.08674913225940897,0.5407260526397399,0.6138194019057146,0.5781121101121102,0.0975818555746185,0.5370017009024326,0.6192225193217877,0.5772727272727273,0.08674913225940897,0.5407260526397399,0.6138194019057146,0.5638717563128655,0.09543652174740742,0.5236651580730517,0.6040783545526792,0.5943876262626263,0.10672993577371441,0.5494232083517081,0.6393520441735445,0.6,0.6,0.5961538461538461,0.6,0.5941558441558441,0.6000000000000001,0.6,"{""model__min_samples_split"": 8, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 7, ""model__criterion"": ""gini"", ""model__class_weight"": ""balanced"", ""model__ccp_alpha"": 0.0}"
P2,S2,RandomForest,0.5,0.6387368421052632,0.08892251287721739,0.601274540627097,0.6761991435834294,0.6483080808080808,0.08510286842679225,0.6124549631834884,0.6841611984326732,0.6546546231546232,0.08316162962173215,0.6196193329958009,0.6896899133134455,0.6483080808080808,0.08510286842679225,0.6124549631834884,0.6841611984326732,0.6319506122704265,0.09128144449382498,0.593494512882953,0.6704067116579,0.7170391414141415,0.08200684286730933,0.6824903531336108,0.7515879296946721,0.64,0.6499999999999999,0.6442307692307692,0.6499999999999999,0.6376811594202898,0.7000000000000001,0.7,"{""model__n_estimators"": 200, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 3, ""model__max_features"": 1.0, ""model__max_depth"": 3, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced""}"
P2,S3,Dummy,0.3,0.5773684210526318,0.015929206263601618,0.5706575813783311,0.5840792607269324,0.5,0.0,,,0.2886842105263159,0.007964603131800809,0.28532879068916556,0.2920396303634662,0.5,0.0,,,0.36596774193548387,0.006432768176836991,0.363257671189816,0.36867781268115174,0.5,0.0,,,0.6,0.5,0.3,0.5,0.375,0.5,0.0,{}
P2,S3,LogisticRegression,0.5,0.6467368421052632,0.07750714380442761,0.6140837389262934,0.6793899452842329,0.6333585858585858,0.07632391008784092,0.6012039690221141,0.6655132026950575,0.6528340336134453,0.09040577401272212,0.6147468467825017,0.6909212204443889,0.6333585858585858,0.07632391008784092,0.6012039690221141,0.6655132026950575,0.6264091870812963,0.08025684734787197,0.5925976570901836,0.660220717072409,0.6485732323232323,0.11187337957870672,0.6014419251035888,0.6957045395428757,0.56,0.5166666666666666,0.5198412698412699,0.5166666666666666,0.5098039215686274,0.5933333333333333,0.3,"{""model__class_weight"": null, ""model__C"": 10.0}"
P2,S3,DecisionTree,0.45,0.6033684210526316,0.08816541994590751,0.5662250764136505,0.6405117656916126,0.6272979797979797,0.08440973019006827,0.5917368754414566,0.6628590841545029,0.6373059718059718,0.08912603287416719,0.5997579290769584,0.6748540145349853,0.6272979797979797,0.08440973019006827,0.5917368754414566,0.6628590841545029,0.5980337423229468,0.09230769459421943,0.5591452924607846,0.636922192185109,0.6533459595959595,0.10047693093002712,0.6110158796610958,0.6956760395308232,0.44,0.43333333333333335,0.4358974358974359,0.43333333333333335,0.4318181818181818,0.41999999999999993,0.4,"{""model__min_samples_split"": 6, ""model__min_samples_leaf"": 4, ""model__max_features"": ""log2"", ""model__max_depth"": 2, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced"", ""model__ccp_alpha"": 0.02}"
P2,S3,RandomForest,0.5,0.6489473684210526,0.07777017066963,0.6161834542516795,0.6817112825904257,0.6590656565656565,0.07074955433663714,0.6292594685909118,0.6888718445404013,0.6644834609834609,0.07071798361008344,0.6346905734884009,0.6942763484785209,0.6590656565656565,0.07074955433663714,0.6292594685909118,0.6888718445404013,0.6434355695679561,0.07926995483147303,0.6100398090347638,0.6768313301011484,0.7150126262626262,0.06911178818697565,0.685896415294425,0.7441288372308273,0.64,0.6499999999999999,0.6442307692307692,0.6499999999999999,0.6376811594202898,0.74,0.7,"{""model__n_estimators"": 200, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 3, ""model__max_features"": 1.0, ""model__max_depth"": 3, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced""}"
P2,S4,Dummy,0.3,0.5773684210526318,0.015929206263601618,0.5706575813783311,0.5840792607269324,0.5,0.0,,,0.2886842105263159,0.007964603131800809,0.28532879068916556,0.2920396303634662,0.5,0.0,,,0.36596774193548387,0.006432768176836991,0.363257671189816,0.36867781268115174,0.5,0.0,,,0.6,0.5,0.3,0.5,0.375,0.5,0.0,{}
P2,S4,LogisticRegression,0.5,0.6812631578947368,0.10132179066300544,0.6385771457105528,0.7239491700789208,0.6724494949494949,0.09792001326103424,0.6311966227708147,0.7137023671281751,0.6851777111777112,0.10912712646990536,0.6392033771313217,0.7311520452241007,0.6724494949494949,0.09792001326103424,0.6311966227708147,0.7137023671281751,0.6696482035919241,0.10102055564276946,0.6270890991702259,0.7122073080136223,0.6512878787878787,0.11622810871420079,0.6023219610691495,0.700253796506608,0.68,0.7,0.6948051948051948,0.7,0.6794871794871795,0.74,0.8,"{""model__class_weight"": ""balanced"", ""model__C"": 0.1}"
P2,S4,DecisionTree,0.45,0.6362105263157894,0.10753671021712229,0.5909062211654547,0.6815148314661242,0.6334090909090909,0.10737769265879414,0.5881717785091594,0.6786464033090225,0.6446342252518723,0.1095015025340358,0.5985021697407281,0.6907662807630165,0.6334090909090909,0.10737769265879414,0.5881717785091594,0.6786464033090225,0.621060020688046,0.11240575859643714,0.5737044266976226,0.6684156146784694,0.6630429292929293,0.11014667924756233,0.6166390662971923,0.7094467922886663,0.6,0.6166666666666667,0.6136363636363636,0.6166666666666667,0.5993589743589745,0.68,0.7,"{""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": null, ""model__max_depth"": 4, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced"", ""model__ccp_alpha"": 0.02}"
P2,S4,RandomForest,0.5,0.6898947368421052,0.10670766755856616,0.6449397003416114,0.734849773342599,0.6838636363636362,0.10570531520160772,0.6393308824209416,0.7283963903063309,0.69249333999334,0.1113987407535134,0.6455619940904351,0.7394246858962448,0.6838636363636362,0.10570531520160772,0.6393308824209416,0.7283963903063309,0.6795561310931482,0.10948273037783383,0.6334319841324068,0.7256802780538896,0.7251893939393939,0.10808755613551368,0.6796530220694502,0.7707257658093375,0.6,0.6166666666666667,0.6136363636363636,0.6166666666666667,0.5993589743589745,0.78,0.7,"{""model__n_estimators"": 200, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 3, ""model__max_features"": 1.0, ""model__max_depth"": 3, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced""}"
P2,S5,Dummy,0.3,0.5773684210526318,0.015929206263601618,0.5706575813783311,0.5840792607269324,0.5,0.0,,,0.2886842105263159,0.007964603131800809,0.28532879068916556,0.2920396303634662,0.5,0.0,,,0.36596774193548387,0.006432768176836991,0.363257671189816,0.36867781268115174,0.5,0.0,,,0.6,0.5,0.3,0.5,0.375,0.5,0.0,{}
P2,S5,LogisticRegression,0.45,0.6689473684210527,0.09176025609346321,0.6302895497623114,0.707605187079794,0.6598989898989899,0.08743128833886539,0.6230649286877684,0.6967330511102113,0.6730563603063604,0.09874765089821248,0.6314548114014448,0.714657909211276,0.6598989898989899,0.08743128833886539,0.6230649286877684,0.6967330511102113,0.6565392323420188,0.09033767976926377,0.6184807330390683,0.6945977316449694,0.6448863636363636,0.10590883200114788,0.6002678697898635,0.6895048574828638,0.64,0.6499999999999999,0.6442307692307692,0.6499999999999999,0.6376811594202898,0.72,0.7,"{""model__class_weight"": ""balanced"", ""model__C"": 0.1}"
P2,S5,DecisionTree,0.6,0.5435789473684212,0.12340748438492727,0.4915884194908097,0.5955694752460327,0.5433585858585859,0.12025767428172993,0.4926950462977338,0.594022125419438,0.5467566877566877,0.12406724307494277,0.49448820913130187,0.5990251663820736,0.5433585858585859,0.12025767428172993,0.4926950462977338,0.594022125419438,0.5274931178556566,0.1248738501915424,0.4748848224842211,0.580101413227092,0.5574810606060606,0.11492623372757955,0.5090636117919723,0.6058985094201489,0.6,0.6333333333333333,0.6388888888888888,0.6333333333333333,0.5993589743589745,0.7066666666666668,0.8,"{""model__min_samples_split"": 2, ""model__min_samples_leaf"": 5, ""model__max_features"": ""log2"", ""model__max_depth"": 5, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced"", ""model__ccp_alpha"": 0.015}"
P2,S5,RandomForest,0.5,0.6853684210526316,0.10611779374631047,0.6406618933928552,0.7300749487124081,0.6758080808080809,0.10471140393709807,0.6316940532624351,0.7199221083537266,0.6901708846708847,0.11532295030435984,0.6415863025232924,0.738755466818477,0.6758080808080809,0.10471140393709807,0.6316940532624351,0.7199221083537266,0.6720337800874886,0.1085989663914064,0.6262819554085163,0.7177856047664609,0.7282449494949494,0.0957514905180857,0.6879056575799171,0.7685842414099818,0.6,0.6,0.5961538461538461,0.6,0.5941558441558441,0.74,0.6,"{""model__n_estimators"": 800, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 4, ""model__max_features"": 1.0, ""model__max_depth"": 4, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced_subsample""}"
